strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100050405,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050406,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050407,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050408,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100050409,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010101,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010102,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010103,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010104,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010105,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010106,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010201,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010202,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010203,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010204,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010205,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010206,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010207,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010208,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010209,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010210,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010301,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010302,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010303,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010304,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010305,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010306,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010307,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010308,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010401,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010402,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010403,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010404,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010501,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010502,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010503,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010504,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010505,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010506,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010507,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010508,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010509,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010601,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010602,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010701,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010702,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010703,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010704,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010801,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010802,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010803,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010804,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010805,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010901,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010902,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010903,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010904,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010905,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010906,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200010907,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011001,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011002,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011003,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011004,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011005,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011006,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200011007,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020101,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020102,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010200020103,mFISHx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
