strHUC12RNG,strUC,intGapOrigin,intGapPres,intGapRepro,intGapSeas,Origin,Presence,Reproduction,Season
010100040302,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040303,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040304,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040305,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040306,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040401,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040402,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040501,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040502,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040503,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040504,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040505,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040506,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040601,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040602,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040603,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040604,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040605,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040606,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040701,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040702,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040703,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040801,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040802,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040803,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040804,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040805,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040901,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040902,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040903,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040904,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040905,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040906,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040907,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040908,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100040909,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041001,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041002,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041003,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041004,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041005,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041006,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041007,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041008,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041009,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041101,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041102,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041103,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041104,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041105,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041106,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041107,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041108,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041109,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041110,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
010100041111,mAMMAx,1,1,3,1,Native,Known/extant,Both breeding and nonbreeding,Year-round
